transaction_id,student_id,issue_date,due_date,return_date,book_id,copy_id,fine_amount,initial_status,final_status,payment_status,payment_date,year,quarter
TS_0003,S18ME014,22-10-2020,29-10-2020,28-10-2020,bk862,CP25839,100,good,damaged,Paid,28-10-2020 00:00,2020,4
TS_0010,S17CS130,17-10-2020,24-10-2020,29-10-2020,BK101,CP03001,50,good,good,Paid,29-10-2020 00:00,2020,4
TS_0018,S20CS080,27-11-2020,04-12-2020,29-11-2020,BK116,CP03451,0,good,good,Not Available,,2020,4
TS_0023,S19IT006,17-10-2020,24-10-2020,18-10-2020,BK649,CP19444,0,good,good,Not Available,,2020,4
TS_0024,S18CS046,08-12-2020,15-12-2020,11-12-2020,BK026,CP00760,0,good,good,Not Available,,2020,4
TS_0030,S18CS140,06-11-2020,13-11-2020,10-11-2020,BK085,CP02540,0,good,good,Not Available,,2020,4
TS_0040,S20ME059,20-11-2020,27-11-2020,24-11-2020,BK802,CP24043,100,good,damaged,Paid,24-11-2020 00:00,2020,4
TS_0042,S20CS120,18-10-2020,25-10-2020,18-10-2020,BK081,CP02428,0,good,good,Not Available,,2020,4
TS_0044,S19CS148,16-10-2020,23-10-2020,21-10-2020,BK153,CP04577,0,good,good,Not Available,,2020,4
TS_0048,S19IT070,29-12-2020,05-01-2021,04-01-2021,bk749,CP22467,0,good,good,Not Available,,2020,4
TS_0050,S18CS146,06-12-2020,13-12-2020,09-12-2020,BK121,CP03607,100,good,damaged,Paid,09-12-2020 00:00,2020,4
TS_0052,S19EE039,29-12-2020,05-01-2021,01-01-2021,BK483,CP14465,0,good,good,Not Available,,2020,4
TS_0056,S19CS065,01-11-2020,08-11-2020,05-11-2020,BK121,CP03604,0,good,good,Not Available,,2020,4
TS_0060,S20CV022,12-10-2020,19-10-2020,18-10-2020,BK227,CP06787,0,good,good,Not Available,,2020,4
TS_0061,S20ME045,20-11-2020,27-11-2020,26-11-2020,BK848,CP25430,0,good,good,Not Available,,2020,4
TS_0065,S18CS065,19-12-2020,26-12-2020,23-12-2020,BK120,CP03590,0,good,good,Not Available,,2020,4
TS_0066,S20CS035,28-12-2020,04-01-2021,02-01-2021,BK110,CP03272,0,good,good,Not Available,,2020,4
TS_0067,S17EE007,19-12-2020,26-12-2020,25-12-2020,BK541,CP16211,0,good,good,Not Available,,2020,4
TS_0069,S17ME020,28-10-2020,04-11-2020,30-10-2020,BK942,CP28235,0,good,good,Not Available,,2020,4
TS_0070,S18CS119,12-12-2020,19-12-2020,16-12-2020,BK157,CP04694,0,good,good,Not Available,,2020,4
TS_0075,S19IT023,26-10-2020,02-11-2020,,BK684,CP20502,1370,good,lost,Pending,,2020,4
TS_0077,S18CV060,16-12-2020,23-12-2020,21-12-2020,BK287,CP08604,0,good,good,Not Available,,2020,4
TS_0079,S18EE018,30-10-2020,06-11-2020,04-11-2020,BK506,CP15159,0,good,good,Not Available,,2020,4
TS_0088,S18CS097,29-11-2020,06-12-2020,01-12-2020,BK059,CP01768,0,good,good,Not Available,,2020,4
TS_0089,S19EC065,08-11-2020,15-11-2020,13-11-2020,BK370,CP11089,100,good,damaged,Pending,,2020,4
TS_0090,S20CS086,03-10-2020,10-10-2020,08-10-2020,BK074,CP02213,0,good,good,Not Available,,2020,4
TS_0095,S20CS068,30-10-2020,06-11-2020,31-10-2020,BK059,CP01769,0,good,good,Not Available,,2020,4
TS_0097,S17CS053,29-12-2020,05-01-2021,,BK032,CP00934,1414,good,lost,Paid,01-03-2021 23:15,2020,4
TS_0098,S20CS163,01-12-2020,08-12-2020,03-12-2020,BK126,CP03755,0,good,good,Not Available,,2020,4
TS_0101,S18ME060,21-10-2020,28-10-2020,,BK807,CP24181,1620,good,lost,Pending,,2020,4
TS_0110,S17ME010,09-12-2020,16-12-2020,10-12-2020,BK943,CP28275,0,good,good,Not Available,,2020,4
TS_0112,S19ME069,11-11-2020,18-11-2020,17-11-2020,BK937,CP28104,0,good,good,Not Available,,2020,4
TS_0113,S17CV030,07-10-2020,14-10-2020,09-10-2020,BK273,CP08185,0,good,good,Not Available,,2020,4
TS_0122,S17ME077,09-10-2020,16-10-2020,28-11-2020,BK819,CP24552,430,good,good,Paid,28-11-2020 00:00,2020,4
TS_0124,S20CV044,02-10-2020,09-10-2020,08-10-2020,BK222,CP06632,0,good,good,Not Available,,2020,4
TS_0126,S17EE004,08-12-2020,15-12-2020,08-12-2020,BK501,CP15021,0,good,good,Not Available,,2020,4
