transaction_id,student_id,issue_date,due_date,return_date,book_id,copy_id,fine_amount,initial_status,final_status,payment_status,payment_date,year,quarter
TS_0013,S18CV026,03-06-2020,10-06-2020,09-06-2020,BK278,CP08338,0,good,good,Not Available,,2020,2
TS_0043,S17CS064,29-06-2020,06-07-2020,07-07-2020,BK101,CP03027,10,good,good,Paid,07-07-2020 00:00,2020,2
TS_0045,S17CS125,30-06-2020,07-07-2020,01-07-2020,BK037,CP01085,0,good,good,Not Available,,2020,2
TS_0057,S17IT044,25-06-2020,02-07-2020,01-07-2020,BK760,CP22775,0,good,good,Not Available,,2020,2
TS_0059,S19CS040,05-06-2020,12-06-2020,07-06-2020,BK101,CP03021,0,good,good,Not Available,,2020,2
TS_0063,S18CS161,27-06-2020,04-07-2020,28-06-2020,BK158,CP04725,0,good,good,Not Available,,2020,2
TS_0078,S20CS121,26-06-2020,03-07-2020,27-06-2020,BK141,CP04222,0,good,good,Not Available,,2020,2
TS_0103,S20IT017,10-06-2020,17-06-2020,30-07-2020,BK766,CP22980,430,good,good,Pending,,2020,2
TS_0125,S20CS036,25-06-2020,02-07-2020,26-06-2020,BK031,CP00911,0,good,good,Not Available,,2020,2
TS_0138,S20CS121,11-06-2020,18-06-2020,14-06-2020,BK102,CP03031,0,good,good,Not Available,,2020,2
TS_0145,S20ME065,16-06-2020,23-06-2020,19-06-2020,BK863,CP25872,0,good,good,Not Available,,2020,2
TS_0147,S20CS036,26-06-2020,03-07-2020,,BK091,CP02703,1718,good,lost,Pending,,2020,2
TS_0154,S19CS076,11-06-2020,18-06-2020,,BK104,CP03100,1992,good,lost,Pending,,2020,2
TS_0157,S20EE042,04-06-2020,11-06-2020,05-06-2020,BK542,CP16233,0,good,good,Not Available,,2020,2
TS_0162,S19CS086,20-06-2020,27-06-2020,22-06-2020,BK023,CP00686,0,good,good,Not Available,,2020,2
TS_0168,S20CS056,16-06-2020,23-06-2020,16-06-2020,BK089,CP02665,0,good,good,Not Available,,2020,2
TS_0197,S20EC001,08-06-2020,15-06-2020,09-06-2020,BK479,CP14345,0,good,good,Not Available,,2020,2
TS_0202,S18EC037,25-06-2020,02-07-2020,27-06-2020,BK375,CP11228,100,good,damaged,Pending,,2020,2
TS_0224,S18EE012,05-06-2020,12-06-2020,09-06-2020,BK629,CP18864,0,good,good,Not Available,,2020,2
TS_0231,S18ME026,17-06-2020,24-06-2020,19-06-2020,BK813,CP24364,0,good,good,Not Available,,2020,2
TS_0233,S17CS120,18-06-2020,25-06-2020,24-06-2020,BK107,CP03204,0,good,good,Not Available,,2020,2
TS_0252,S20CS048,06-06-2020,13-06-2020,06-06-2020,BK015,CP00442,0,good,good,Not Available,,2020,2
TS_0273,S20ME078,02-06-2020,09-06-2020,06-06-2020,BK897,CP26900,0,good,good,Not Available,,2020,2
TS_0314,S18EE039,11-06-2020,18-06-2020,14-06-2020,BK600,CP17971,0,good,good,Not Available,,2020,2
TS_0370,S19EE029,14-06-2020,21-06-2020,30-07-2020,BK610,CP18279,390,good,good,Paid,30-07-2020 00:00,2020,2
TS_0422,S19IT028,17-06-2020,24-06-2020,20-06-2020,BK736,CP22058,0,good,good,Not Available,,2020,2
TS_0428,S18IT008,15-06-2020,22-06-2020,21-06-2020,BK757,CP22688,0,good,good,Not Available,,2020,2
TS_0450,S17CS149,14-06-2020,21-06-2020,18-06-2020,BK016,CP00463,0,good,good,Not Available,,2020,2
TS_0457,S19IT074,26-06-2020,03-07-2020,01-07-2020,BK777,CP23295,100,good,damaged,Pending,,2020,2
TS_0461,S19ME002,04-06-2020,11-06-2020,08-06-2020,BK918,CP27539,0,good,good,Not Available,,2020,2
TS_0464,S17CS145,14-06-2020,21-06-2020,20-06-2020,BK072,CP02144,0,good,good,Not Available,,2020,2
TS_0479,S17ME071,12-06-2020,19-06-2020,17-06-2020,BK859,CP25758,0,good,good,Not Available,,2020,2
TS_0480,S17CS056,07-06-2020,14-06-2020,,BK002,CP00041,1340,good,lost,Pending,,2020,2
TS_0483,S19ME009,09-06-2020,16-06-2020,10-06-2020,BK929,CP27858,0,good,good,Not Available,,2020,2
TS_0513,S17ME056,10-06-2020,17-06-2020,12-06-2020,BK913,CP27365,0,good,good,Not Available,,2020,2
TS_0519,S20EE038,30-06-2020,07-07-2020,06-07-2020,BK492,CP14747,0,good,good,Not Available,,2020,2
TS_0522,S19ME065,07-06-2020,14-06-2020,12-06-2020,BK864,CP25905,0,good,good,Not Available,,2020,2
TS_0526,S20CS052,18-06-2020,25-06-2020,24-06-2020,BK147,CP04407,0,good,good,Not Available,,2020,2
TS_0533,S17IT062,18-06-2020,25-06-2020,19-06-2020,BK792,CP23749,0,good,good,Not Available,,2020,2
TS_0565,S19IT070,08-06-2020,15-06-2020,14-06-2020,BK663,CP19881,100,good,damaged,Pending,,2020,2
TS_0594,S19EE029,03-06-2020,10-06-2020,09-06-2020,BK544,CP16302,0,good,good,Not Available,,2020,2
TS_0612,S18CS121,30-06-2020,07-07-2020,05-07-2020,BK139,CP04165,0,good,good,Not Available,,2020,2
TS_0613,S19ME011,10-06-2020,17-06-2020,,BK956,CP28677,1116,good,lost,Pending,,2020,2
TS_0615,S18IT007,10-06-2020,17-06-2020,11-06-2020,BK732,CP21957,0,good,good,Not Available,,2020,2
TS_0625,S20CS142,27-06-2020,04-07-2020,03-07-2020,BK109,CP03242,0,good,good,Not Available,,2020,2
TS_0638,S20ME067,28-06-2020,05-07-2020,29-06-2020,BK829,CP24849,0,good,good,Not Available,,2020,2
TS_0640,S18CS043,03-06-2020,10-06-2020,,BK152,CP04558,1748,good,lost,Pending,,2020,2
TS_0641,S19ME005,26-06-2020,03-07-2020,30-06-2020,BK805,CP24127,0,good,good,Not Available,,2020,2
TS_0645,S17ME073,05-06-2020,12-06-2020,05-06-2020,BK851,CP25513,0,good,good,Not Available,,2020,2
TS_0653,S20ME041,29-06-2020,06-07-2020,29-06-2020,BK876,CP26256,0,good,good,Not Available,,2020,2
TS_0659,S19CS140,16-06-2020,23-06-2020,20-06-2020,BK118,CP03526,0,good,good,Not Available,,2020,2
TS_0670,S19EC041,01-06-2020,08-06-2020,07-06-2020,BK476,CP14264,0,good,good,Not Available,,2020,2
TS_0690,S18CV028,16-06-2020,23-06-2020,17-06-2020,BK298,CP08932,0,good,good,Not Available,,2020,2
TS_0704,S18IT026,14-06-2020,21-06-2020,16-06-2020,BK708,CP21231,0,good,good,Not Available,,2020,2
TS_0713,S20ME001,21-06-2020,28-06-2020,27-06-2020,BK939,CP28161,0,good,good,Not Available,,2020,2
TS_0717,S18EC021,05-06-2020,12-06-2020,08-06-2020,BK367,CP10997,0,good,good,Not Available,,2020,2
TS_0720,S18EC009,07-06-2020,14-06-2020,07-06-2020,BK408,CP12213,0,good,good,Not Available,,2020,2
TS_0724,S17CS075,14-06-2020,21-06-2020,14-06-2020,BK146,CP04371,0,good,good,Not Available,,2020,2
TS_0725,S17EE020,20-06-2020,27-06-2020,24-06-2020,BK598,CP17935,0,good,good,Not Available,,2020,2
TS_0763,S19ME041,18-06-2020,25-06-2020,06-07-2020,BK953,CP28581,110,good,good,Paid,06-07-2020 00:00,2020,2
TS_0775,S20CS165,10-06-2020,17-06-2020,10-06-2020,BK151,CP04506,0,good,good,Not Available,,2020,2
TS_0784,S19IT069,10-06-2020,17-06-2020,16-06-2020,BK763,CP22862,100,good,damaged,Paid,16-06-2020 00:00,2020,2
TS_0806,S18CS061,26-06-2020,03-07-2020,01-07-2020,BK061,CP01803,0,good,good,Not Available,,2020,2
TS_0824,S17EC026,14-06-2020,21-06-2020,16-06-2020,BK377,CP11307,100,good,damaged,Paid,16-06-2020 00:00,2020,2
TS_0826,S20CS065,08-06-2020,15-06-2020,10-06-2020,BK028,CP00833,0,good,good,Not Available,,2020,2
TS_0828,S18CS026,07-06-2020,14-06-2020,,bk020,CP00599,1652,good,Lost,Pending,,2020,2
TS_0857,S17CS094,18-06-2020,25-06-2020,18-06-2020,BK006,CP00168,0,good,good,Not Available,,2020,2
TS_0858,S17ME006,25-06-2020,02-07-2020,01-07-2020,BK931,CP27913,0,good,good,Not Available,,2020,2
TS_0873,S20ME056,30-06-2020,07-07-2020,04-07-2020,BK879,CP26347,0,good,good,Not Available,,2020,2
TS_0876,S19IT057,19-06-2020,26-06-2020,19-06-2020,BK793,CP23787,0,good,good,Not Available,,2020,2
TS_0887,S17IT005,11-06-2020,18-06-2020,13-06-2020,BK731,CP21915,0,good,good,Not Available,,2020,2
TS_0889,S18EC035,20-06-2020,27-06-2020,21-06-2020,BK354,CP10605,0,good,good,Not Available,,2020,2
TS_0896,S18CS123,16-06-2020,23-06-2020,17-06-2020,BK095,CP02839,0,good,good,Not Available,,2020,2
TS_0913,S20EC001,03-06-2020,10-06-2020,09-06-2020,BK327,CP09788,0,good,good,Not Available,,2020,2
TS_0915,S20CS028,14-06-2020,21-06-2020,14-06-2020,BK112,CP03334,0,good,good,Not Available,,2020,2
TS_0917,S18CS098,16-06-2020,23-06-2020,22-06-2020,BK089,CP02657,0,good,good,Not Available,,2020,2
TS_0925,S19CS108,26-06-2020,03-07-2020,27-06-2020,BK152,CP04553,0,good,good,Not Available,,2020,2
TS_0926,S18EC046,30-06-2020,07-07-2020,,BK472,CP14157,1484,good,lost,Pending,,2020,2
TS_0935,S19ME017,28-06-2020,05-07-2020,30-06-2020,BK956,CP28654,0,good,good,Not Available,,2020,2
TS_0942,S18IT064,12-06-2020,19-06-2020,18-06-2020,BK702,CP21058,0,good,good,Not Available,,2020,2
TS_0973,S19EC040,17-06-2020,24-06-2020,22-06-2020,BK335,CP10025,0,good,good,Not Available,,2020,2
TS_0982,S17EC051,15-06-2020,22-06-2020,20-06-2020,BK428,CP12833,0,good,good,Not Available,,2020,2
TS_0994,S18CS149,06-06-2020,13-06-2020,08-06-2020,BK005,CP00123,0,good,good,Not Available,,2020,2
TS_0997,S17EE004,01-06-2020,08-06-2020,06-08-2020,BK632,CP18937,590,good,good,Paid,06-08-2020 00:00,2020,2
TS_1012,S17IT006,26-06-2020,03-07-2020,30-06-2020,BK735,CP22041,0,good,good,Not Available,,2020,2
TS_1014,S20CS102,26-06-2020,03-07-2020,,BK003,CP00088,1368,good,lost,Paid,03-03-2021 00:34,2020,2
TS_1023,S18CS147,07-06-2020,14-06-2020,,BK102,CP03038,1332,good,lost,Pending,,2020,2
TS_1027,S19CS013,06-06-2020,13-06-2020,08-06-2020,BK076,CP02260,0,good,good,Not Available,,2020,2
TS_1033,S18CS037,21-06-2020,28-06-2020,23-06-2020,BK155,CP04642,0,good,good,Not Available,,2020,2
TS_1049,S20ME041,21-06-2020,28-06-2020,24-06-2020,BK801,CP24002,0,good,good,Not Available,,2020,2
TS_1054,S17ME042,20-06-2020,27-06-2020,20-06-2020,BK938,CP28128,0,good,good,Not Available,,2020,2
TS_1055,S18CV018,03-06-2020,10-06-2020,19-06-2020,BK264,CP07909,90,good,good,Pending,,2020,2
