transaction_id,student_id,issue_date,due_date,return_date,book_id,copy_id,fine_amount,initial_status,final_status,payment_status,payment_date,year,quarter
TS_0001,S19IT067,20-01-2021,27-01-2021,21-01-2021,bk693,CP20779,0,good,good,Not Available,,2021,1
TS_0007,S20CS039,13-01-2021,20-01-2021,13-01-2021,BK103,CP03068,0,good,good,Not Available,,2021,1
TS_0012,S18CS038,27-03-2021,03-04-2021,02-04-2021,bk089,CP02658,0,good,good,Not Available,,2021,1
TS_0015,S20EC012,11-01-2021,18-01-2021,14-01-2021,BK326,CP09779,0,good,good,Not Available,,2021,1
TS_0020,S18ME021,02-01-2021,09-01-2021,08-01-2021,BK893,cp26766,0,good,good,Not Available,,2021,1
TS_0025,S20EE041,01-02-2021,08-02-2021,04-02-2021,bk630,CP18893,0,good,good,Not Available,,2021,1
TS_0026,S17EC037,22-02-2021,01-03-2021,,bk453,CP13566,1590,good,lost,Pending,,2021,1
TS_0027,S18EC009,11-02-2021,18-02-2021,14-02-2021,BK355,CP10632,0,good,good,Not Available,,2021,1
TS_0028,S19ME020,29-01-2021,05-02-2021,30-01-2021,BK848,CP25417,0,good,good,Not Available,,2021,1
TS_0032,S19ME070,18-01-2021,25-01-2021,22-01-2021,BK904,CP27101,0,good,good,Not Available,,2021,1
TS_0033,S18ME003,05-03-2021,12-03-2021,22-03-2021,BK873,cp26164,100,good,good,Paid,22-03-2021 00:00,2021,1
TS_0036,S17CS155,12-01-2021,19-01-2021,15-01-2021,BK071,CP02127,0,good,good,Not Available,,2021,1
TS_0037,S20EE013,19-01-2021,26-01-2021,21-01-2021,BK611,CP18322,0,good,good,Not Available,,2021,1
TS_0047,S18CS084,10-01-2021,17-01-2021,14-01-2021,BK160,CP04778,0,good,good,Not Available,,2021,1
TS_0049,S18CS159,10-01-2021,17-01-2021,15-01-2021,BK081,CP02417,0,good,good,Not Available,,2021,1
TS_0058,S19CS030,22-02-2021,01-03-2021,08-03-2021,BK017,CP00493,70,good,good,Paid,08-03-2021 00:00,2021,1
TS_0073,S19CS105,06-01-2021,13-01-2021,11-01-2021,BK026,CP00769,0,good,good,Not Available,,2021,1
TS_0074,S20CS038,26-03-2021,02-04-2021,31-03-2021,BK076,CP02278,100,good,damaged,Paid,31-03-2021 00:00,2021,1
TS_0081,S18IT056,02-03-2021,09-03-2021,06-03-2021,BK794,CP23811,0,good,good,Not Available,,2021,1
TS_0085,S17ME026,12-01-2021,19-01-2021,18-01-2021,BK852,CP25558,0,good,good,Not Available,,2021,1
TS_0086,S17ME016,15-02-2021,22-02-2021,09-04-2021,BK918,CP27523,460,good,good,Paid,09-04-2021 00:00,2021,1
TS_0091,S20CS087,09-01-2021,16-01-2021,15-01-2021,BK045,CP01342,0,good,good,Not Available,,2021,1
TS_0094,S17ME021,12-03-2021,19-03-2021,15-03-2021,BK811,CP24303,0,good,good,Not Available,,2021,1
TS_0105,S20CS046,23-01-2021,30-01-2021,25-01-2021,BK081,CP02418,0,good,good,Not Available,,2021,1
TS_0106,S20CV006,14-02-2021,21-02-2021,15-02-2021,BK226,CP06778,0,good,good,Not Available,,2021,1
TS_0107,S18CS014,12-03-2021,19-03-2021,15-03-2021,BK085,CP02541,0,good,good,Not Available,,2021,1
TS_0114,S17ME060,17-03-2021,24-03-2021,18-03-2021,BK804,CP24092,0,good,good,Not Available,,2021,1
TS_0120,S17ME033,01-03-2021,08-03-2021,17-03-2021,BK857,CP25704,90,good,good,Paid,17-03-2021 00:00,2021,1
TS_0123,S18CS030,11-03-2021,18-03-2021,11-03-2021,BK038,CP01127,0,good,good,Not Available,,2021,1
TS_0130,S17CS105,06-01-2021,13-01-2021,08-01-2021,BK093,CP02782,0,good,good,Not Available,,2021,1
TS_0135,S20CS021,04-01-2021,11-01-2021,05-01-2021,BK078,CP02329,0,good,good,Not Available,,2021,1
TS_0139,S17CS165,25-01-2021,01-02-2021,26-01-2021,BK070,CP02085,0,good,good,Not Available,,2021,1
TS_0143,S18ME027,15-03-2021,22-03-2021,20-03-2021,BK911,CP27326,0,good,good,Not Available,,2021,1
TS_0144,S20CV027,25-02-2021,04-03-2021,12-03-2021,BK222,CP06633,80,good,good,Paid,12-03-2021 00:00,2021,1
TS_0146,S19ME062,22-02-2021,01-03-2021,25-02-2021,BK937,CP28083,0,good,good,Not Available,,2021,1
TS_0150,S19CV060,29-03-2021,05-04-2021,02-04-2021,BK177,CP05302,0,good,good,Not Available,,2021,1
TS_0161,S17CS079,12-02-2021,19-02-2021,18-02-2021,BK047,CP01398,0,good,good,Not Available,,2021,1
TS_0163,S17IT034,19-03-2021,26-03-2021,22-03-2021,BK752,CP22551,0,good,good,Not Available,,2021,1
